"","date","count","package"
"635",2020-12-25,48,"distill"
"636",2020-12-26,52,"distill"
"637",2020-12-27,57,"distill"
"638",2020-12-28,85,"distill"
"639",2020-12-29,68,"distill"
"640",2020-12-30,69,"distill"
"641",2020-12-31,55,"distill"
"642",2021-01-01,37,"distill"
"643",2021-01-02,89,"distill"
"644",2021-01-03,64,"distill"
"645",2021-01-04,131,"distill"
"646",2021-01-05,110,"distill"
"647",2021-01-06,80,"distill"
"648",2021-01-07,67,"distill"
"649",2021-01-08,50,"distill"
"650",2021-01-09,53,"distill"
"651",2021-01-10,48,"distill"
"652",2021-01-11,150,"distill"
"653",2021-01-12,71,"distill"
"654",2021-01-13,222,"distill"
"655",2021-01-14,197,"distill"
"656",2021-01-15,134,"distill"
"657",2021-01-16,105,"distill"
"658",2021-01-17,81,"distill"
"659",2021-01-18,117,"distill"
"660",2021-01-19,174,"distill"
"661",2021-01-20,160,"distill"
"662",2021-01-21,147,"distill"
"663",2021-01-22,166,"distill"
"664",2021-01-23,167,"distill"
"665",2021-01-24,181,"distill"
"666",2021-01-25,223,"distill"
"667",2021-01-26,144,"distill"
"668",2021-01-27,131,"distill"
"669",2021-01-28,93,"distill"
"670",2021-01-29,117,"distill"
"671",2021-01-30,96,"distill"
"672",2021-01-31,113,"distill"
"673",2021-02-01,156,"distill"
"674",2021-02-02,144,"distill"
